encoded_method,path_depth,url_length,query_param_count,query_string_length,payload_length,payload_entropy,special_char_count,header_count,auth_header_present,status_code,response_size,feature_vector,sensitive_fields_leaked,label
2,3,36,0,0,51,4.1995,15,7,0,200,57,"[2, 3, 36, 0, 0, 51, 4.1995, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,48,4.0616,15,7,0,200,57,"[2, 3, 36, 0, 0, 48, 4.0616, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,51,4.1995,15,7,0,400,64,"[2, 3, 39, 0, 0, 51, 4.1995, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,48,4.0616,15,7,0,400,64,"[2, 3, 39, 0, 0, 48, 4.0616, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,95,4.1588,42,7,0,200,57,"[2, 3, 36, 0, 0, 95, 4.1588, 42, 7, 0, 200, 57]",[],1
2,3,36,0,0,92,4.0382,42,7,0,200,57,"[2, 3, 36, 0, 0, 92, 4.0382, 42, 7, 0, 200, 57]",[],1
2,3,39,0,0,95,4.1588,42,7,0,400,64,"[2, 3, 39, 0, 0, 95, 4.1588, 42, 7, 0, 400, 64]",[],1
2,3,39,0,0,92,4.0382,42,7,0,400,64,"[2, 3, 39, 0, 0, 92, 4.0382, 42, 7, 0, 400, 64]",[],1
2,3,36,0,0,100,4.2086,42,7,0,200,57,"[2, 3, 36, 0, 0, 100, 4.2086, 42, 7, 0, 200, 57]",[],1
2,3,36,0,0,97,4.0948,42,7,0,200,57,"[2, 3, 36, 0, 0, 97, 4.0948, 42, 7, 0, 200, 57]",[],1
2,3,39,0,0,100,4.2086,42,7,0,400,64,"[2, 3, 39, 0, 0, 100, 4.2086, 42, 7, 0, 400, 64]",[],1
2,3,39,0,0,97,4.0948,42,7,0,400,64,"[2, 3, 39, 0, 0, 97, 4.0948, 42, 7, 0, 400, 64]",[],1
2,3,36,0,0,69,4.4144,19,7,0,200,57,"[2, 3, 36, 0, 0, 69, 4.4144, 19, 7, 0, 200, 57]",[],1
2,3,36,0,0,66,4.4004,19,7,0,200,57,"[2, 3, 36, 0, 0, 66, 4.4004, 19, 7, 0, 200, 57]",[],1
2,3,39,0,0,69,4.4144,19,7,0,400,64,"[2, 3, 39, 0, 0, 69, 4.4144, 19, 7, 0, 400, 64]",[],1
2,3,39,0,0,66,4.4004,19,7,0,400,64,"[2, 3, 39, 0, 0, 66, 4.4004, 19, 7, 0, 400, 64]",[],1
2,3,36,0,0,79,4.7639,20,7,0,200,57,"[2, 3, 36, 0, 0, 79, 4.7639, 20, 7, 0, 200, 57]",[],1
2,3,36,0,0,76,4.6672,20,7,0,200,57,"[2, 3, 36, 0, 0, 76, 4.6672, 20, 7, 0, 200, 57]",[],1
2,3,39,0,0,79,4.7639,20,7,0,400,64,"[2, 3, 39, 0, 0, 79, 4.7639, 20, 7, 0, 400, 64]",[],1
2,3,39,0,0,76,4.6672,20,7,0,400,64,"[2, 3, 39, 0, 0, 76, 4.6672, 20, 7, 0, 400, 64]",[],1
2,3,36,0,0,65,4.5725,17,7,0,200,57,"[2, 3, 36, 0, 0, 65, 4.5725, 17, 7, 0, 200, 57]",[],1
2,3,36,0,0,62,4.4724,17,7,0,200,57,"[2, 3, 36, 0, 0, 62, 4.4724, 17, 7, 0, 200, 57]",[],1
2,3,39,0,0,65,4.5725,17,7,0,400,64,"[2, 3, 39, 0, 0, 65, 4.5725, 17, 7, 0, 400, 64]",[],1
2,3,39,0,0,62,4.4724,17,7,0,400,64,"[2, 3, 39, 0, 0, 62, 4.4724, 17, 7, 0, 400, 64]",[],1
2,3,36,0,0,69,4.4186,14,7,0,200,57,"[2, 3, 36, 0, 0, 69, 4.4186, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,66,4.2186,14,7,0,200,57,"[2, 3, 36, 0, 0, 66, 4.2186, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,69,4.4186,14,7,0,400,64,"[2, 3, 39, 0, 0, 69, 4.4186, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,66,4.2186,14,7,0,400,64,"[2, 3, 39, 0, 0, 66, 4.2186, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,78,4.5197,14,7,0,200,57,"[2, 3, 36, 0, 0, 78, 4.5197, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,75,4.3474,14,7,0,200,57,"[2, 3, 36, 0, 0, 75, 4.3474, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,78,4.5197,14,7,0,400,64,"[2, 3, 39, 0, 0, 78, 4.5197, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,75,4.3474,14,7,0,400,64,"[2, 3, 39, 0, 0, 75, 4.3474, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,89,4.879,16,7,0,200,57,"[2, 3, 36, 0, 0, 89, 4.879, 16, 7, 0, 200, 57]",[],1
2,3,36,0,0,86,4.7635,16,7,0,200,57,"[2, 3, 36, 0, 0, 86, 4.7635, 16, 7, 0, 200, 57]",[],1
2,3,39,0,0,89,4.879,16,7,0,400,64,"[2, 3, 39, 0, 0, 89, 4.879, 16, 7, 0, 400, 64]",[],1
2,3,39,0,0,86,4.7635,16,7,0,400,64,"[2, 3, 39, 0, 0, 86, 4.7635, 16, 7, 0, 400, 64]",[],1
2,3,36,0,0,80,4.6934,15,7,0,200,57,"[2, 3, 36, 0, 0, 80, 4.6934, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,77,4.5375,15,7,0,200,57,"[2, 3, 36, 0, 0, 77, 4.5375, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,80,4.6934,15,7,0,400,64,"[2, 3, 39, 0, 0, 80, 4.6934, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,77,4.5375,15,7,0,400,64,"[2, 3, 39, 0, 0, 77, 4.5375, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,76,4.6887,14,7,0,200,57,"[2, 3, 36, 0, 0, 76, 4.6887, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,73,4.5715,14,7,0,200,57,"[2, 3, 36, 0, 0, 73, 4.5715, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,76,4.6887,14,7,0,400,64,"[2, 3, 39, 0, 0, 76, 4.6887, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,73,4.5715,14,7,0,400,64,"[2, 3, 39, 0, 0, 73, 4.5715, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,56,4.3318,15,7,0,200,57,"[2, 3, 36, 0, 0, 56, 4.3318, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,53,4.115,15,7,0,200,57,"[2, 3, 36, 0, 0, 53, 4.115, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,56,4.3318,15,7,0,400,64,"[2, 3, 39, 0, 0, 56, 4.3318, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,53,4.115,15,7,0,400,64,"[2, 3, 39, 0, 0, 53, 4.115, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,56,4.3184,15,7,0,200,57,"[2, 3, 36, 0, 0, 56, 4.3184, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,53,4.1905,15,7,0,200,57,"[2, 3, 36, 0, 0, 53, 4.1905, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,56,4.3184,15,7,0,400,64,"[2, 3, 39, 0, 0, 56, 4.3184, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,53,4.1905,15,7,0,400,64,"[2, 3, 39, 0, 0, 53, 4.1905, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,55,4.2445,16,7,0,200,57,"[2, 3, 36, 0, 0, 55, 4.2445, 16, 7, 0, 200, 57]",[],1
2,3,36,0,0,52,4.1259,16,7,0,200,57,"[2, 3, 36, 0, 0, 52, 4.1259, 16, 7, 0, 200, 57]",[],1
2,3,39,0,0,55,4.2445,16,7,0,400,64,"[2, 3, 39, 0, 0, 55, 4.2445, 16, 7, 0, 400, 64]",[],1
2,3,39,0,0,52,4.1259,16,7,0,400,64,"[2, 3, 39, 0, 0, 52, 4.1259, 16, 7, 0, 400, 64]",[],1
2,3,36,0,0,54,4.1069,14,7,0,200,57,"[2, 3, 36, 0, 0, 54, 4.1069, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,51,3.9834,14,7,0,200,57,"[2, 3, 36, 0, 0, 51, 3.9834, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,54,4.1069,14,7,0,400,64,"[2, 3, 39, 0, 0, 54, 4.1069, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,51,3.9834,14,7,0,400,64,"[2, 3, 39, 0, 0, 51, 3.9834, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,57,4.0603,14,7,0,200,57,"[2, 3, 36, 0, 0, 57, 4.0603, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,54,3.9787,14,7,0,200,57,"[2, 3, 36, 0, 0, 54, 3.9787, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,57,4.0603,14,7,0,400,64,"[2, 3, 39, 0, 0, 57, 4.0603, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,54,3.9787,14,7,0,400,64,"[2, 3, 39, 0, 0, 54, 3.9787, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,55,4.3154,14,7,0,200,57,"[2, 3, 36, 0, 0, 55, 4.3154, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,52,4.3037,14,7,0,200,57,"[2, 3, 36, 0, 0, 52, 4.3037, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,55,4.3154,14,7,0,400,64,"[2, 3, 39, 0, 0, 55, 4.3154, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,52,4.3037,14,7,0,400,64,"[2, 3, 39, 0, 0, 52, 4.3037, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,52,4.0275,14,7,0,200,57,"[2, 3, 36, 0, 0, 52, 4.0275, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,49,3.8119,14,7,0,200,57,"[2, 3, 36, 0, 0, 49, 3.8119, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,52,4.0275,14,7,0,400,64,"[2, 3, 39, 0, 0, 52, 4.0275, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,49,3.8119,14,7,0,400,64,"[2, 3, 39, 0, 0, 49, 3.8119, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,52,4.0337,14,7,0,200,57,"[2, 3, 36, 0, 0, 52, 4.0337, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,49,3.7181,14,7,0,200,57,"[2, 3, 36, 0, 0, 49, 3.7181, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,52,4.0337,14,7,0,400,64,"[2, 3, 39, 0, 0, 52, 4.0337, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,49,3.7181,14,7,0,400,64,"[2, 3, 39, 0, 0, 49, 3.7181, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,51,4.0662,15,7,0,200,57,"[2, 3, 36, 0, 0, 51, 4.0662, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,48,3.9022,15,7,0,200,57,"[2, 3, 36, 0, 0, 48, 3.9022, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,51,4.0662,15,7,0,400,64,"[2, 3, 39, 0, 0, 51, 4.0662, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,48,3.9022,15,7,0,400,64,"[2, 3, 39, 0, 0, 48, 3.9022, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,51,4.0662,15,7,0,200,57,"[2, 3, 36, 0, 0, 51, 4.0662, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,48,3.9022,15,7,0,200,57,"[2, 3, 36, 0, 0, 48, 3.9022, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,51,4.0662,15,7,0,400,64,"[2, 3, 39, 0, 0, 51, 4.0662, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,48,3.9022,15,7,0,400,64,"[2, 3, 39, 0, 0, 48, 3.9022, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,53,4.1446,15,7,0,200,57,"[2, 3, 36, 0, 0, 53, 4.1446, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,50,3.9884,15,7,0,200,57,"[2, 3, 36, 0, 0, 50, 3.9884, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,53,4.1446,15,7,0,400,64,"[2, 3, 39, 0, 0, 53, 4.1446, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,50,3.9884,15,7,0,400,64,"[2, 3, 39, 0, 0, 50, 3.9884, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,54,4.2405,15,7,0,200,57,"[2, 3, 36, 0, 0, 54, 4.2405, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,51,4.0786,15,7,0,200,57,"[2, 3, 36, 0, 0, 51, 4.0786, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,54,4.2405,15,7,0,400,64,"[2, 3, 39, 0, 0, 54, 4.2405, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,51,4.0786,15,7,0,400,64,"[2, 3, 39, 0, 0, 51, 4.0786, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,54,4.2405,15,7,0,200,57,"[2, 3, 36, 0, 0, 54, 4.2405, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,51,4.0786,15,7,0,200,57,"[2, 3, 36, 0, 0, 51, 4.0786, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,54,4.2405,15,7,0,400,64,"[2, 3, 39, 0, 0, 54, 4.2405, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,51,4.0786,15,7,0,400,64,"[2, 3, 39, 0, 0, 51, 4.0786, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,52,4.0679,15,7,0,200,57,"[2, 3, 36, 0, 0, 52, 4.0679, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,49,3.9518,15,7,0,200,57,"[2, 3, 36, 0, 0, 49, 3.9518, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,52,4.0679,15,7,0,400,64,"[2, 3, 39, 0, 0, 52, 4.0679, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,49,3.9518,15,7,0,400,64,"[2, 3, 39, 0, 0, 49, 3.9518, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,55,4.1287,15,7,0,200,57,"[2, 3, 36, 0, 0, 55, 4.1287, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,52,3.9796,15,7,0,200,57,"[2, 3, 36, 0, 0, 52, 3.9796, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,55,4.1287,15,7,0,400,64,"[2, 3, 39, 0, 0, 55, 4.1287, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,52,3.9796,15,7,0,400,64,"[2, 3, 39, 0, 0, 52, 3.9796, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,54,4.2867,15,7,0,200,57,"[2, 3, 36, 0, 0, 54, 4.2867, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,51,4.1455,15,7,0,200,57,"[2, 3, 36, 0, 0, 51, 4.1455, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,54,4.2867,15,7,0,400,64,"[2, 3, 39, 0, 0, 54, 4.2867, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,51,4.1455,15,7,0,400,64,"[2, 3, 39, 0, 0, 51, 4.1455, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,54,4.2496,15,7,0,200,57,"[2, 3, 36, 0, 0, 54, 4.2496, 15, 7, 0, 200, 57]",[],1
2,3,36,0,0,51,4.1455,15,7,0,200,57,"[2, 3, 36, 0, 0, 51, 4.1455, 15, 7, 0, 200, 57]",[],1
2,3,39,0,0,54,4.2496,15,7,0,400,64,"[2, 3, 39, 0, 0, 54, 4.2496, 15, 7, 0, 400, 64]",[],1
2,3,39,0,0,51,4.1455,15,7,0,400,64,"[2, 3, 39, 0, 0, 51, 4.1455, 15, 7, 0, 400, 64]",[],1
2,3,36,0,0,47,4.1369,14,7,0,200,57,"[2, 3, 36, 0, 0, 47, 4.1369, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,44,4.0249,14,7,0,200,57,"[2, 3, 36, 0, 0, 44, 4.0249, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,47,4.1369,14,7,0,400,64,"[2, 3, 39, 0, 0, 47, 4.1369, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,44,4.0249,14,7,0,400,64,"[2, 3, 39, 0, 0, 44, 4.0249, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,47,4.1369,14,7,0,200,57,"[2, 3, 36, 0, 0, 47, 4.1369, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,44,4.0249,14,7,0,200,57,"[2, 3, 36, 0, 0, 44, 4.0249, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,47,4.1369,14,7,0,400,64,"[2, 3, 39, 0, 0, 47, 4.1369, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,44,4.0249,14,7,0,400,64,"[2, 3, 39, 0, 0, 44, 4.0249, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,53,4.2462,14,7,0,200,57,"[2, 3, 36, 0, 0, 53, 4.2462, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,50,4.1113,14,7,0,200,57,"[2, 3, 36, 0, 0, 50, 4.1113, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,53,4.2462,14,7,0,400,64,"[2, 3, 39, 0, 0, 53, 4.2462, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,50,4.1113,14,7,0,400,64,"[2, 3, 39, 0, 0, 50, 4.1113, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,56,4.4033,14,7,0,200,57,"[2, 3, 36, 0, 0, 56, 4.4033, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,53,4.2678,14,7,0,200,57,"[2, 3, 36, 0, 0, 53, 4.2678, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,56,4.4033,14,7,0,400,64,"[2, 3, 39, 0, 0, 56, 4.4033, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,53,4.2678,14,7,0,400,64,"[2, 3, 39, 0, 0, 53, 4.2678, 14, 7, 0, 400, 64]",[],1
2,3,36,0,0,52,4.1903,14,7,0,200,57,"[2, 3, 36, 0, 0, 52, 4.1903, 14, 7, 0, 200, 57]",[],1
2,3,36,0,0,49,4.0508,14,7,0,200,57,"[2, 3, 36, 0, 0, 49, 4.0508, 14, 7, 0, 200, 57]",[],1
2,3,39,0,0,52,4.1903,14,7,0,400,64,"[2, 3, 39, 0, 0, 52, 4.1903, 14, 7, 0, 400, 64]",[],1
2,3,39,0,0,49,4.0508,14,7,0,400,64,"[2, 3, 39, 0, 0, 49, 4.0508, 14, 7, 0, 400, 64]",[],1
