encoded_method,path_depth,url_length,query_param_count,query_string_length,payload_length,payload_entropy,special_char_count,header_count,auth_header_present,status_code,response_size,label
3,4,127,3,51,264,6.5161,34,8,1,400,1815,1
1,3,47,0,27,43,3.8958,3,5,1,200,1076,0
1,2,49,2,7,15,3.9276,3,5,1,200,856,0
1,3,42,1,22,25,1.0761,4,5,1,200,990,0
3,1,41,6,20,107,7.2456,43,8,1,200,4683,1
2,1,30,0,6,4,2.8352,2,7,1,200,353,0
1,1,36,0,28,13,1.2754,0,5,1,200,1157,0
2,2,40,0,6,35,1.5196,4,6,1,200,721,0
2,5,129,3,71,272,4.5459,28,3,1,200,4711,1
1,3,16,0,27,31,3.8207,3,5,1,200,579,0
1,1,26,2,0,32,2.9545,2,7,1,200,484,0
1,3,16,0,18,49,3.049,0,5,1,200,975,0
1,2,103,3,53,164,5.3456,13,7,1,200,3246,1
2,1,35,0,24,35,1.5323,0,7,1,200,391,0
1,3,32,0,6,31,2.0224,4,7,1,200,478,0
2,1,44,0,16,19,3.4794,4,6,1,200,1242,0
1,4,41,6,38,125,5.5647,37,6,0,400,243,1
1,3,26,0,19,20,3.2571,0,6,1,200,308,0
2,2,28,2,25,4,3.2111,4,6,1,200,857,0
2,1,24,1,11,16,1.3034,4,7,1,200,369,0
1,2,56,3,85,54,6.04,47,5,1,500,1488,1
1,1,21,0,12,3,2.0507,3,6,1,200,644,0
1,3,41,1,25,18,1.3336,2,4,1,200,852,0
1,2,34,0,8,38,3.2381,4,7,1,200,389,0
1,4,142,2,75,210,5.1708,15,7,1,400,3384,1
2,1,49,2,19,17,1.4986,0,5,1,200,1366,0
1,1,17,2,24,10,1.8429,3,7,1,200,867,0
1,2,42,1,7,49,1.7978,4,4,1,200,939,0
4,3,147,8,36,250,5.4286,29,5,0,400,355,1
1,1,16,1,23,29,3.5982,4,4,1,200,1342,0
1,2,15,1,14,48,2.1302,1,6,1,200,1440,0
2,3,27,0,1,40,2.2445,0,4,1,200,1022,0
2,4,110,6,114,182,7.4899,32,7,0,200,4909,1
2,1,35,1,8,45,1.7543,4,4,1,200,648,0
1,2,42,2,7,38,3.0147,1,5,1,200,317,0
2,2,26,0,21,43,2.6828,2,4,1,200,600,0
4,5,114,7,85,124,5.1389,47,4,1,400,1458,1
1,3,48,0,5,32,3.351,3,5,1,200,958,0
1,1,19,0,3,9,3.7798,1,4,1,200,1183,0
1,2,16,0,29,42,2.7389,2,6,1,200,310,0
1,3,147,9,27,181,5.0456,34,5,1,403,766,1
1,2,33,0,4,17,1.8358,4,5,1,200,1037,0
1,1,26,1,13,33,1.3862,1,4,1,200,1296,0
1,3,36,2,23,29,1.4709,4,4,1,200,1249,0
4,1,37,2,118,229,5.128,31,9,1,500,464,1
1,3,21,2,14,22,2.535,3,4,1,200,1497,0
1,3,29,0,22,36,1.5469,0,4,1,200,1454,0
1,2,39,0,12,19,2.4219,1,6,1,200,432,0
1,2,140,5,105,83,6.1732,49,3,1,403,2572,1
1,2,48,2,23,44,1.991,0,4,1,200,861,0
1,2,18,1,10,29,1.5201,0,6,1,200,1098,0
1,1,38,2,5,1,2.728,2,7,1,200,845,0
2,1,123,9,70,111,7.2881,24,10,1,403,1241,1
2,1,34,0,11,46,3.1217,4,5,1,200,338,0
2,1,17,0,5,49,2.3628,4,6,1,200,371,0
1,2,34,0,4,8,3.2807,2,6,1,200,1318,0
1,5,91,5,69,127,7.2988,20,11,1,500,1670,1
2,2,43,2,8,36,1.6049,2,4,1,200,1388,0
2,3,28,1,29,3,1.9486,1,4,1,200,601,0
2,3,28,2,28,37,2.6193,0,4,1,200,344,0
1,2,107,6,70,88,4.8507,15,5,0,403,2135,1
2,3,43,1,24,32,3.1209,2,6,1,200,488,0
1,2,16,1,4,9,2.0262,4,6,1,200,1014,0
2,3,43,0,28,46,2.2269,4,5,1,200,294,0
3,3,65,5,45,92,6.2971,29,10,1,400,4907,1
1,2,26,1,12,39,2.5177,0,4,1,200,1027,0
1,1,22,2,9,48,2.7289,1,4,1,200,1213,0
1,2,36,2,22,0,1.3397,4,5,1,200,619,0
2,1,30,8,73,104,5.1822,24,7,0,200,1432,1
1,1,40,0,2,24,3.5906,1,6,1,200,1433,0
1,3,31,2,26,43,3.7382,0,6,1,200,1403,0
1,1,43,2,10,21,1.6603,1,4,1,200,1272,0
3,1,113,2,68,197,5.7439,37,10,0,403,1892,1
1,2,37,2,26,18,2.0482,4,4,1,200,628,0
1,3,32,0,13,46,2.5829,3,4,1,200,313,0
1,3,18,0,7,28,1.2265,2,7,1,200,977,0
2,3,139,3,116,136,7.4368,41,4,0,200,3179,1
1,3,17,2,26,7,1.3123,4,6,1,200,1274,0
1,3,22,1,2,31,3.9662,2,7,1,200,651,0
2,2,35,1,22,47,1.2608,1,6,1,200,350,0
1,3,141,6,38,85,6.4288,27,4,0,403,3694,1
1,2,17,2,22,11,3.492,4,5,1,200,1479,0
1,2,49,1,21,43,1.4203,1,5,1,200,831,0
2,3,46,0,17,16,1.806,1,4,1,200,1424,0
2,3,139,5,45,235,7.2017,43,9,0,403,2275,1
1,1,48,0,4,24,2.4924,3,6,1,200,541,0
1,1,45,1,26,39,1.7522,4,4,1,200,1020,0
1,1,31,1,20,27,3.3127,1,7,1,200,1018,0
1,4,144,3,48,198,7.0112,20,6,0,403,2954,1
1,2,48,2,14,23,3.8105,4,7,1,200,950,0
1,3,31,1,26,44,1.464,0,5,1,200,272,0
1,1,15,0,28,42,2.7949,0,6,1,200,330,0
2,5,137,5,70,271,4.5158,21,5,0,500,4190,1
2,1,24,0,22,48,1.5554,2,7,1,200,860,0
2,1,30,1,7,24,3.7101,3,6,1,200,688,0
2,3,46,1,15,6,3.9981,1,4,1,200,1309,0
2,5,36,2,67,121,7.4132,32,4,0,400,2519,1
2,2,31,1,23,34,2.682,4,5,1,200,330,0
1,2,37,2,14,48,2.6152,0,4,1,200,921,0
1,1,16,2,2,41,3.971,2,6,1,200,1364,0
2,3,68,7,48,239,4.7656,25,10,1,403,2524,1
2,1,34,0,0,29,1.01,4,5,1,200,575,0
1,2,39,0,20,45,1.1353,0,4,1,200,1163,0
1,2,20,2,23,45,2.8024,4,5,1,200,1376,0
3,4,33,4,91,197,7.0135,19,4,0,400,1036,1
1,3,20,0,4,46,1.649,0,6,1,200,1243,0
2,1,49,1,17,16,1.4617,2,5,1,200,980,0
1,3,39,0,3,13,3.5804,2,4,1,200,1151,0
3,3,121,6,28,244,7.367,21,11,0,500,1660,1
1,3,48,2,5,7,3.0871,1,5,1,200,653,0
2,1,42,0,12,16,1.1846,4,7,1,200,517,0
1,2,17,1,7,26,3.5935,0,5,1,200,415,0
3,4,126,4,78,97,6.6251,34,7,1,500,4386,1
1,3,19,2,12,30,3.4775,1,7,1,200,562,0
1,3,45,1,3,1,3.4964,4,7,1,200,494,0
1,1,41,0,8,16,1.3475,1,7,1,200,647,0
4,5,64,9,89,260,6.7831,19,11,1,400,4002,1
1,3,44,0,28,21,3.8117,3,5,1,200,930,0
1,2,31,1,21,0,1.1738,2,5,1,200,505,0
2,3,43,2,2,11,1.0738,2,4,1,200,1078,0
3,3,104,3,106,75,4.9768,43,6,0,403,138,1
1,1,43,2,19,31,1.2471,3,5,1,200,1048,0
2,1,35,2,15,36,2.9156,2,4,1,200,1480,0
1,2,29,1,28,34,1.0934,0,7,1,200,1494,0
4,3,101,5,65,266,7.1059,17,4,1,403,4544,1
1,1,38,1,2,19,3.3896,0,5,1,200,405,0
1,2,34,0,5,47,2.4748,4,4,1,200,585,0
2,3,27,0,7,20,1.2173,1,5,1,200,806,0
2,3,74,2,52,151,7.2235,20,8,0,500,1676,1
1,1,46,2,15,21,1.631,0,5,1,200,1135,0
1,1,16,0,0,40,2.0519,0,4,1,200,315,0
1,3,16,1,6,25,3.0684,1,6,1,200,1193,0
2,4,78,9,94,110,6.6194,15,11,1,200,2370,1
1,2,26,1,27,19,2.0184,2,6,1,200,206,0
1,2,36,1,2,40,1.492,2,5,1,200,1213,0
1,1,39,0,18,18,3.9276,3,4,1,200,508,0
3,3,73,3,89,195,6.4598,46,10,0,403,3071,1
1,3,43,1,14,32,3.5214,0,5,1,200,358,0
1,1,18,1,19,23,2.6299,2,7,1,200,619,0
1,2,16,2,1,35,2.2652,1,6,1,200,385,0
2,5,41,4,37,89,7.008,42,5,1,500,2247,1
2,3,28,1,1,36,3.5632,4,4,1,200,517,0
1,1,28,2,24,19,2.7789,0,6,1,200,227,0
1,1,19,2,0,39,2.7961,3,4,1,200,1118,0
3,3,39,4,33,129,6.0593,19,11,0,200,2460,1
1,1,26,0,16,48,3.1162,3,6,1,200,819,0
1,2,28,1,8,36,3.8098,4,4,1,200,318,0
1,1,19,0,16,13,3.0646,3,4,1,200,441,0
4,3,72,7,117,266,6.4174,48,10,0,403,3349,1
1,2,34,2,29,44,1.4306,1,5,1,200,1091,0
1,2,35,0,22,7,1.4685,4,6,1,200,285,0
1,1,40,2,9,29,2.4915,0,5,1,200,502,0
4,1,105,4,91,138,6.5686,42,3,0,403,3224,1
1,1,40,1,27,1,3.9982,0,4,1,200,1312,0
2,1,27,2,8,10,3.6355,4,5,1,200,693,0
2,3,20,1,17,12,3.3934,2,4,1,200,1021,0
3,1,114,8,84,125,6.3295,24,7,0,500,1540,1
1,1,49,1,25,10,2.8103,1,5,1,200,1141,0
1,1,40,1,5,27,1.0769,1,4,1,200,211,0
1,1,29,2,10,47,2.6482,1,7,1,200,1090,0
3,5,50,8,99,96,4.7138,24,11,1,403,4246,1
1,1,27,1,18,33,1.499,3,7,1,200,572,0
1,3,43,2,27,34,2.7428,1,7,1,200,869,0
2,1,27,1,24,29,1.5434,3,5,1,200,1262,0
1,1,71,6,61,233,7.3888,13,8,0,400,1508,1
1,1,27,2,21,20,3.6526,0,5,1,200,720,0
1,2,22,0,25,26,3.3416,1,7,1,200,730,0
2,3,24,0,17,18,2.8716,0,6,1,200,441,0
1,1,128,5,117,210,5.1502,26,8,1,200,2566,1
1,3,24,0,13,12,2.7834,0,5,1,200,462,0
1,3,25,2,23,45,1.3123,1,5,1,200,753,0
2,1,47,2,8,7,2.1009,0,6,1,200,907,0
1,1,89,3,79,54,4.7098,41,7,1,400,1835,1
1,2,17,1,5,1,3.9824,1,5,1,200,1432,0
2,3,44,1,11,35,3.885,4,6,1,200,1216,0
1,2,44,0,22,15,1.0037,3,7,1,200,1179,0
3,5,52,5,24,261,7.281,10,11,1,200,4137,1
1,3,46,0,20,15,2.5205,3,5,1,200,708,0
1,1,37,1,12,1,2.1427,1,6,1,200,960,0
1,3,17,1,22,25,2.8018,2,5,1,200,342,0
2,4,130,5,31,288,5.6915,47,4,0,403,3329,1
2,2,28,1,2,15,1.6359,0,6,1,200,777,0
1,3,32,1,19,17,2.9229,0,5,1,200,992,0
1,1,45,1,0,45,3.6948,4,7,1,200,1098,0
3,1,35,2,32,166,4.8653,30,4,1,200,4323,1
1,1,45,1,19,17,1.8333,4,6,1,200,453,0
1,3,33,2,18,4,3.3423,1,4,1,200,841,0
1,2,45,2,8,22,1.7175,2,4,1,200,1379,0
2,3,36,9,35,146,6.0283,48,10,0,200,1482,1
1,1,49,2,26,27,2.4449,4,4,1,200,797,0
2,3,16,1,26,20,1.0576,4,5,1,200,1100,0
1,1,40,1,12,20,1.5966,4,4,1,200,871,0
4,1,128,2,79,188,5.8631,35,6,1,500,4819,1
2,3,43,0,5,41,3.355,4,4,1,200,304,0
1,1,15,1,27,47,1.764,1,5,1,200,431,0
1,3,48,2,21,7,1.6809,0,7,1,200,1055,0
1,3,98,9,63,242,5.8298,17,10,0,403,3556,1
1,3,38,0,4,19,3.2125,1,6,1,200,565,0
2,3,33,2,18,27,2.0645,1,4,1,200,972,0
1,2,46,0,7,39,2.874,1,6,1,200,1145,0
3,1,65,7,87,127,4.7078,34,9,1,403,469,1
1,3,16,1,12,31,3.2442,3,5,1,200,722,0
1,1,32,2,8,24,2.128,3,5,1,200,1184,0
1,2,34,0,11,31,2.4881,0,7,1,200,321,0
4,1,41,2,66,67,6.4082,30,10,1,500,746,1
1,3,36,1,10,24,3.8122,4,4,1,200,969,0
1,3,41,1,14,22,3.5221,4,5,1,200,620,0
1,3,33,2,28,29,3.62,0,7,1,200,1452,0
3,2,87,9,91,178,6.7251,12,3,1,500,1955,1
2,3,39,1,20,45,2.848,2,5,1,200,1136,0
1,1,36,1,25,11,3.2372,0,5,1,200,1243,0
1,3,45,2,5,18,3.989,3,6,1,200,1355,0
4,2,53,7,118,203,5.6746,30,8,1,403,2552,1
1,2,18,0,12,19,2.207,3,4,1,200,725,0
2,1,30,1,22,3,1.1584,1,5,1,200,793,0
1,3,33,1,23,44,3.2378,1,5,1,200,1340,0
3,4,93,4,67,222,4.9424,42,4,0,500,1236,1
1,3,25,0,27,44,1.5204,3,7,1,200,1270,0
1,2,28,2,6,8,3.8509,4,4,1,200,699,0
1,2,17,0,10,48,2.7574,4,5,1,200,762,0
1,3,71,4,65,203,7.1182,38,7,1,200,803,1
1,2,40,1,6,38,2.4894,0,7,1,200,811,0
2,2,45,0,3,20,1.2069,3,5,1,200,613,0
1,3,49,2,27,13,1.7486,1,4,1,200,404,0
2,4,102,6,119,233,4.6395,27,11,0,500,789,1
1,3,20,2,14,17,3.1973,2,7,1,200,1143,0
2,2,40,1,24,36,3.9439,1,4,1,200,1354,0
2,1,38,0,18,24,3.8411,3,4,1,200,644,0
1,1,79,6,87,176,5.2529,16,8,0,200,4788,1
2,1,48,1,10,40,3.3751,0,4,1,200,1165,0
1,2,15,1,20,4,3.8371,0,5,1,200,1041,0
1,3,36,2,7,37,3.4192,1,6,1,200,442,0
3,1,93,9,26,70,4.9941,13,6,1,403,2891,1
2,2,42,1,26,40,2.6805,3,5,1,200,1080,0
1,1,17,0,9,34,1.3164,3,6,1,200,800,0
1,3,33,0,18,10,1.6113,1,7,1,200,707,0
4,1,65,6,104,121,6.8937,24,10,1,400,4663,1
1,2,21,2,12,2,3.6916,2,7,1,200,685,0
1,1,22,0,27,47,1.4563,3,5,1,200,1165,0
2,3,46,0,11,10,2.5156,0,6,1,200,1332,0
3,5,50,7,32,211,4.9979,47,9,1,403,1660,1
1,1,34,1,25,4,3.9204,3,4,1,200,464,0
2,2,20,2,27,43,3.9642,1,6,1,200,656,0
1,2,36,2,11,27,2.5763,4,7,1,200,1441,0
2,1,114,4,71,83,5.5438,27,11,0,500,995,1
1,1,25,1,14,26,2.9024,3,4,1,200,471,0
1,3,42,2,6,5,3.5672,3,4,1,200,1167,0
1,3,17,1,24,46,1.9159,4,6,1,200,1148,0
2,4,43,5,95,194,6.7982,44,4,0,200,4841,1
1,3,41,1,23,45,2.3811,3,4,1,200,1039,0
1,3,44,2,13,19,1.054,1,5,1,200,861,0
2,3,17,1,18,8,3.5184,4,6,1,200,1286,0
1,3,148,2,38,224,5.8495,47,7,0,500,2612,1
1,1,39,1,10,34,1.6791,0,7,1,200,267,0
2,2,36,0,23,15,1.7185,0,7,1,200,467,0
1,2,35,2,20,4,1.7569,4,6,1,200,1212,0
1,1,90,2,87,84,6.9879,33,3,1,200,442,1
1,2,26,1,14,14,2.8058,1,7,1,200,804,0
1,1,34,0,28,3,3.0293,3,7,1,200,971,0
1,1,17,1,11,1,1.8147,2,6,1,200,1310,0
2,1,111,2,80,61,6.3122,36,10,0,500,4557,1
2,1,49,1,2,47,1.842,0,4,1,200,900,0
1,2,22,2,19,32,2.0166,4,4,1,200,903,0
1,3,23,0,16,40,3.4546,4,6,1,200,382,0
1,5,93,4,38,188,4.8945,10,10,1,403,3503,1
2,1,26,0,15,32,3.4714,3,5,1,200,719,0
2,2,37,1,12,46,1.1786,3,5,1,200,1189,0
2,2,33,2,27,39,3.2535,0,7,1,200,854,0
1,2,92,6,93,243,7.1641,22,4,0,400,870,1
2,3,16,0,5,2,2.6019,1,4,1,200,467,0
1,1,29,1,4,20,3.4241,0,6,1,200,476,0
1,2,49,0,22,8,1.9189,1,5,1,200,1411,0
4,2,61,4,86,205,6.2378,32,10,0,500,2141,1
1,2,47,2,1,27,2.2916,3,4,1,200,1032,0
1,3,43,1,27,17,2.9107,2,6,1,200,325,0
1,1,19,1,15,11,2.6791,3,4,1,200,1036,0
2,3,96,4,64,53,4.7979,36,5,1,400,1010,1
1,2,49,2,5,3,3.9846,0,4,1,200,996,0
1,3,31,0,15,21,2.6242,4,4,1,200,504,0
1,1,36,0,26,22,2.3213,1,5,1,200,1332,0
3,2,142,6,65,176,5.3107,20,9,1,403,3556,1
1,1,49,0,14,33,2.4667,2,4,1,200,472,0
2,2,36,0,23,18,1.6039,4,7,1,200,716,0
1,2,33,2,26,33,3.1664,4,6,1,200,1363,0
2,5,147,4,111,54,6.8826,29,11,1,400,982,1
1,2,25,0,29,23,2.3237,2,6,1,200,903,0
1,2,31,2,20,13,2.3679,3,6,1,200,971,0
2,3,23,0,16,16,3.5409,2,6,1,200,642,0
1,5,76,7,80,80,6.7021,41,8,0,400,4878,1
2,2,35,1,8,23,3.1992,0,5,1,200,1386,0
2,2,21,1,6,2,3.2136,0,4,1,200,200,0
1,1,22,0,27,8,3.2983,3,6,1,200,393,0
3,1,63,7,97,177,6.5622,40,8,0,403,3755,1
1,1,46,1,12,18,2.5677,1,7,1,200,574,0
2,2,16,1,25,12,3.0006,3,5,1,200,494,0
1,3,28,1,22,26,1.0661,4,6,1,200,520,0
1,1,59,6,32,70,5.1439,28,11,0,400,2484,1
2,2,24,1,3,7,2.664,3,7,1,200,1237,0
1,2,38,2,21,29,2.5605,4,6,1,200,975,0
1,3,45,1,1,17,3.4713,2,4,1,200,1190,0
1,2,122,3,37,145,6.2805,26,9,1,400,2537,1
1,1,43,2,24,0,1.3898,0,6,1,200,627,0
1,2,29,2,12,18,3.7298,3,6,1,200,600,0
1,2,43,0,27,26,3.5327,1,6,1,200,222,0
1,5,136,6,52,73,6.7831,26,6,0,200,1729,1
1,3,33,0,9,16,2.0802,3,7,1,200,426,0
1,3,27,1,4,12,2.2474,1,7,1,200,848,0
1,3,36,0,3,44,3.2621,4,5,1,200,975,0
3,4,47,4,47,119,6.4345,30,10,1,400,455,1
1,3,49,0,24,48,1.3345,1,4,1,200,1267,0
1,2,27,0,5,23,3.5148,0,7,1,200,597,0
1,1,17,2,5,16,3.7182,3,7,1,200,740,0
3,1,129,3,79,139,6.5326,29,9,1,500,3858,1
1,2,26,2,21,41,3.3105,0,5,1,200,1357,0
1,1,39,0,22,6,2.0443,3,7,1,200,919,0
1,1,21,2,18,8,2.6409,0,6,1,200,928,0
4,5,115,4,23,153,4.6971,38,4,1,500,3376,1
2,3,40,1,7,8,1.7175,3,5,1,200,1366,0
1,2,31,2,25,43,2.8592,0,5,1,200,1248,0
2,1,33,2,12,7,2.9079,3,6,1,200,690,0
1,1,76,5,107,231,5.91,40,11,1,400,2941,1
1,1,34,0,10,32,3.8738,2,5,1,200,214,0
1,2,35,1,4,5,1.8241,1,5,1,200,913,0
1,3,44,2,29,5,2.3366,3,4,1,200,1458,0
4,1,110,9,94,126,6.0817,40,8,0,500,4775,1
2,3,40,1,24,11,1.7786,0,5,1,200,1242,0
1,2,32,1,5,3,3.4882,4,6,1,200,324,0
2,3,30,1,1,7,1.485,3,6,1,200,1032,0
3,1,88,5,107,291,6.8149,31,11,0,400,3719,1
1,2,35,1,27,39,3.5441,2,5,1,200,812,0
1,1,17,0,12,9,3.7041,2,5,1,200,328,0
1,1,21,0,2,19,1.2722,2,6,1,200,917,0
1,2,74,5,112,261,6.2215,27,6,0,400,253,1
2,3,24,2,10,40,1.1168,1,4,1,200,553,0
1,1,43,0,10,20,2.5501,1,6,1,200,602,0
1,3,21,1,7,4,2.2583,3,6,1,200,1073,0
4,2,145,6,112,185,5.0584,28,9,1,500,3665,1
1,2,29,2,4,0,2.2282,2,7,1,200,388,0
2,1,38,1,3,2,2.547,0,6,1,200,1404,0
1,3,19,2,29,40,1.0,0,7,1,200,765,0
2,5,86,3,59,184,5.1107,30,6,0,500,441,1
2,2,19,0,22,49,3.6881,4,4,1,200,1335,0
2,2,30,1,20,20,1.4488,2,6,1,200,1137,0
2,3,48,2,29,8,1.8065,1,5,1,200,704,0
1,4,77,5,44,172,6.777,47,3,0,403,1852,1
1,1,38,1,7,14,3.143,2,5,1,200,1224,0
1,2,31,1,26,40,1.5857,4,5,1,200,461,0
1,1,17,0,16,11,3.0132,4,6,1,200,391,0
1,1,96,3,34,149,6.8586,13,4,0,403,142,1
2,2,47,1,1,3,2.6769,4,6,1,200,1101,0
1,1,33,0,0,4,3.1554,4,7,1,200,858,0
1,3,24,0,19,30,1.9294,1,7,1,200,1245,0
3,1,130,9,26,255,6.3746,12,4,1,403,4790,1
1,1,26,1,20,10,1.5743,3,4,1,200,1101,0
1,1,42,1,4,32,1.8573,0,6,1,200,925,0
1,2,44,2,6,3,3.9461,3,5,1,200,590,0
3,3,83,6,39,78,5.4758,19,11,0,500,301,1
1,2,19,1,8,4,1.5694,3,4,1,200,1427,0
1,3,24,1,24,34,1.8056,3,7,1,200,785,0
1,2,41,0,14,37,1.205,0,5,1,200,347,0
4,3,113,4,85,207,6.4249,31,5,1,403,1406,1
1,1,46,1,8,35,1.7486,1,4,1,200,1288,0
1,1,24,0,14,21,3.8172,4,6,1,200,1471,0
1,2,44,0,12,27,2.8825,4,7,1,200,1230,0
1,1,65,4,20,187,5.6971,41,8,1,400,2804,1
1,3,49,2,20,24,2.3021,3,4,1,200,578,0
2,2,33,0,10,40,1.7261,3,4,1,200,238,0
1,3,46,2,0,45,1.8124,1,7,1,200,402,0
1,2,96,7,77,210,6.5186,27,9,1,400,1673,1
1,3,27,1,2,9,2.5408,2,5,1,200,890,0
2,1,23,0,5,42,2.615,0,7,1,200,995,0
2,1,23,1,23,20,2.234,1,6,1,200,322,0
4,2,69,5,56,128,4.692,43,8,1,403,3869,1
1,2,21,0,10,23,3.7813,0,6,1,200,1226,0
1,2,15,1,5,20,1.4814,4,4,1,200,913,0
2,2,21,2,12,46,3.0554,2,7,1,200,268,0
1,4,41,5,46,105,6.1601,34,7,0,403,2013,1
2,1,46,2,4,35,2.8966,0,5,1,200,513,0
2,1,35,0,8,5,2.6601,2,6,1,200,861,0
1,1,37,0,11,22,2.3855,0,6,1,200,925,0
1,5,140,6,106,190,6.6658,32,3,0,500,696,1
2,2,32,1,21,32,2.0357,2,7,1,200,1137,0
2,2,24,2,27,35,1.3552,1,7,1,200,1234,0
1,3,33,1,14,27,2.7157,2,4,1,200,336,0
3,1,91,2,38,244,6.5893,10,4,1,403,4336,1
2,2,43,2,12,47,2.8169,4,4,1,200,494,0
1,2,31,2,12,4,3.2944,2,6,1,200,1016,0
2,1,31,2,24,2,2.682,4,6,1,200,615,0
2,4,45,2,73,205,6.5918,10,11,1,500,2572,1
1,3,21,1,28,18,3.4618,0,4,1,200,1098,0
1,2,44,0,7,17,3.7053,1,7,1,200,733,0
1,3,29,0,16,44,2.3514,4,4,1,200,534,0
4,5,135,6,86,132,4.71,23,10,0,403,2721,1
1,3,45,2,26,29,1.653,0,4,1,200,547,0
1,2,29,0,3,7,2.2782,1,4,1,200,1006,0
1,1,49,0,18,43,3.2268,3,4,1,200,1094,0
4,5,87,2,35,264,6.3162,30,6,1,200,1593,1
2,2,27,2,21,15,1.6068,2,4,1,200,1263,0
1,2,44,1,11,9,2.5212,0,5,1,200,713,0
1,3,40,2,17,31,2.2933,0,6,1,200,394,0
2,3,123,6,20,271,5.3085,37,7,1,400,1022,1
1,2,24,2,20,14,3.4649,3,5,1,200,539,0
1,1,36,1,28,20,3.6654,4,7,1,200,1343,0
2,2,39,1,26,39,3.2087,4,5,1,200,1481,0
4,3,126,7,57,225,6.98,21,5,0,403,4546,1
1,1,27,0,2,10,2.0813,2,5,1,200,707,0
1,3,36,1,13,23,2.8712,3,7,1,200,406,0
1,2,49,2,15,4,3.5933,1,6,1,200,736,0
4,5,58,8,38,220,6.5284,34,6,1,403,3002,1
2,2,48,2,27,4,2.8992,4,6,1,200,979,0
1,2,34,1,24,13,1.16,2,4,1,200,1113,0
1,2,32,2,10,20,2.8949,0,6,1,200,1056,0
1,2,51,4,84,113,6.9308,10,10,1,400,1849,1
1,1,43,1,13,49,1.0574,0,6,1,200,1282,0
1,2,34,1,5,2,2.9171,1,5,1,200,212,0
1,1,16,1,25,10,2.7785,2,5,1,200,859,0
4,5,69,3,49,258,6.3205,25,9,1,200,1054,1
2,3,37,2,8,34,1.6017,4,5,1,200,664,0
1,3,22,2,20,29,1.3838,3,6,1,200,1491,0
2,2,44,0,18,45,2.1568,1,6,1,200,563,0
2,2,49,3,107,187,4.7245,24,7,1,403,2140,1
2,3,25,1,7,28,1.6975,3,5,1,200,238,0
1,1,27,0,25,21,3.6947,1,7,1,200,365,0
2,3,37,1,1,30,1.9073,3,5,1,200,295,0
2,5,93,7,29,217,5.4109,33,5,1,500,3316,1
1,3,45,1,24,41,1.8458,1,4,1,200,989,0
2,2,26,0,14,41,1.9416,4,4,1,200,1255,0
2,2,41,0,17,12,3.2249,3,7,1,200,1261,0
3,4,100,2,118,97,5.7204,48,6,0,200,2977,1
2,1,31,0,4,5,2.7032,0,7,1,200,469,0
1,3,22,0,12,31,1.8382,3,4,1,200,1460,0
1,2,46,0,5,7,2.6763,0,5,1,200,1429,0
4,3,39,4,78,125,6.1704,40,7,1,500,3516,1
1,3,35,1,19,38,2.7668,3,4,1,200,838,0
1,1,34,0,16,35,2.375,4,4,1,200,1281,0
